Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230814011918_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814012640_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814013403_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814014126_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814014848_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814015611_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814020333_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814021056_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814021819_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814022541_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814120618_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814121340_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814122103_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814122826_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814123548_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814124311_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814125034_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814125756_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814010519_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
20230814011242_seigot_main_20230805.patch	-1	-1	-1	false	false	false	false	false	false	false
