Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230823092247_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.255	116.255	74.9999	true	false	false	false	true	true	false
20230823093130_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.465	116.465	70.1999	true	false	false	false	true	true	false
20230823094012_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5502	37.5502	271.4	false	true	false	false	true	true	false
20230823095546_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.577	116.577	68.5999	true	false	false	false	true	true	false
20230823100428_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	48.425	48.425	271.4	false	true	false	false	true	true	false
20230823101311_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.414	116.414	67	true	false	false	false	true	true	false
20230823102153_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5226	37.5226	271.6	false	true	false	false	true	true	false
20230823103036_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	47.4251	47.4251	270.8	false	true	false	false	true	true	false
20230823103919_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5822	37.5822	271	false	true	false	false	true	true	false
20230823104801_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.23	116.23	66.2	true	false	false	false	true	true	false
20230823105643_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.251	116.251	73.7996	true	false	false	false	true	true	false
20230823110526_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.3851	37.3851	271.2	false	true	false	false	true	true	false
20230823111409_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.284	116.284	71.3999	true	false	false	false	true	true	false
20230823112251_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.435	116.435	63.7997	true	false	false	false	true	true	false
20230823113134_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.388	116.388	63.7999	true	false	false	false	true	true	false
20230823114016_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	77.3468	77.3468	37.5999	true	false	false	false	true	true	false
20230823114859_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	70.0424	70.0424	271.6	false	true	false	false	true	true	false
20230823115741_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.246	116.246	63.5999	true	false	false	false	true	true	false
20230823120623_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	47.3727	47.3727	256.2	false	true	false	false	true	true	false
20230823121506_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5294	37.5294	271.001	false	true	false	false	true	true	false
20230823122349_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5658	37.5658	271.402	false	true	false	false	true	true	false
20230823123231_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5233	37.5233	271.4	false	true	false	false	true	true	false
20230823124113_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.4715	37.4715	271	false	true	false	false	true	true	false
20230823124956_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.524	37.524	272.199	false	true	false	false	true	true	false
20230823125839_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	47.4504	47.4504	271.6	false	true	false	false	true	true	false
20230823010721_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	116.48	116.48	66.3999	true	false	false	false	true	true	false
20230823011603_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	37.5481	37.5481	271.402	false	true	false	false	true	true	false
20230823012446_seigot_main_20230822_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherparamv1_holdstopdistance_and_min_longitudinal_margin5.5_drivablearea-0.0_laterror0.5.patch	70.1152	70.1152	271.4	false	true	false	false	true	true	false
